"term","definition","alt label","source","source cited","link source","notes"
"Name authority file","The Library of Congress Name Authority File (NAF) file provides authoritative data for names of persons, organizations, events, places, and titles. Its purpose is the identification of these entities and, through the use of such controlled vocabulary, to provide uniform access to bibliographic resources. Names descriptions also provide access to a controlled form of name through references from unused forms, e.g. a search under: Snodgrass, Quintus Curtius, 1835-1910 will lead users to the authoritative name for Mark Twain, which is, ""Twain, Mark, 1835-1910."" Names may also be used as subjects in bibliographic descriptions, so they may be combined with controlled values from subject heading schemes, such as LCSH.","Name authority list, ","LOC","","http://id.loc.gov/authorities/names.html",""
"classification","The system divides all knowledge into twenty-one basic classes, each identified by a single letter of the alphabet. Most of these alphabetical classes are further divided into more specific subclasses, identified by two-letter, or occasionally three-letter, combinations. For example, class N, Arti>, has subclasses NA, Architecturei>; NB, Sculpturei>, ND, Paintingi>; as well as several other subclasses. Each subclass includes a loosely hierarchical arrangement of the topics pertinent to the subclass, going from the general to the more specific. Individual topics are often broken down by specific places, time periods, or bibliographic forms (such as periodicals, biographies, etc.). Each topic (often referred to as a caption) is assigned a single number or a span of numbers. Whole numbers used in LCC may range from one to four digits in length, and may be further extended by the use of decimal numbers. Some subtopics appear in alphabetical, rather than hierarchical, lists and are represented by decimal numbers that combine a letter of the alphabet with a numeral , e.g. .B72 or .K535. Relationships among topics in LCC are shown not by the numbers that are assigned to them, but by indenting subtopics under the larger topics that they are a part of, much like an outline. In this respect, it is different from more strictly hierarchical classification systems, such as the Dewey Decimal Classificationi>, where hierarchical relationships among topics are shown by numbers that can be continuously subdivided.","","LOC","","http://id.loc.gov/authorities/classification.html",""
"classification scheme","Classification Schemes contains a list of classification schemes and assigns a URI to each scheme. The purpose of these properties is to permit users to associate classification numbers with the appropriate classification scheme.","","LOC","","http://id.loc.gov/vocabulary/classSchemes.html",""
"linked data service","The Linked Data Service provides access to commonly found standards and vocabularies promulgated by the Library of Congress. This includes data values and the controlled vocabularies that house them.","metadata registry","LOC","","http://id.loc.gov/",""
"authority headings","you can browse and view authority headings for Subject, Name, Title and Name/Title combinations; and download authority records in MARC format for use in a local library system.  Subject Authorities , Name Authorities, Title Authorities, Keywords Authorities","","LOC","","http://id.loc.gov/",""
"heading list type","Headings List Types The Headings List Types reflect the various controlled vocabularies and thesauri that appear in Library of Congress authorities. This information is derived from several authoritative lists or thesauri whose short titles appear in the far right column of the Headings List display","","LOC","","http://id.loc.gov/",""
"code list","MARC Code List for Relators The MARC Code Lists for Relators, Sources, Description Conventions have been reorganized. Relator terms and codes can be accessed on this page (below). The source code list parts can now be accessed at Source Codes for Vocabularies, Rules, and Schemes.","","loc","","http://id.loc.gov/",""
"code list","Code lists are predefined sets of terms from which some statistical coded concepts take their values. SDMX cross-domain code lists are used to support cross-domain concepts. The use of common code lists will help users to work even more efficiently, easing the maintenance of and reducing the need for mapping systems and interfaces delivering data and metadata to them. ","","sdmx ","","https://sdmx.org/?page_id=4345 ",""
"subject-matter domains","A statistical subject-matter domain refers to a statistical activity that has common characteristics with respect to variables, concepts and methodologies for data collection and the whole statistical data compilation process. ","","sdmx ","","https://sdmx.org/?page_id=4345 ",""
"Structural Metadata","The support for exchange of statistical data and related structural metadata has been expanded. Some support is provided  for qualitative data; data cube structures are described; hierarchical code  lists are supported; relationships between data structures can be expressed,  providing support for extensibility of data structures; and the description of  functional dependencies within cubes are supported.","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"code list","Code list: Code lists enumerate a set of values to be used in the representation of dimensions, attributes, and other structural parts of SDMX. They can be supplemented by other structural metadata which indicates how codes are organized into hierarchies. ","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Organisation Scheme","Organisations and organisation structure can be  defined in an Organisation Scheme. Specific Organisation Schemes exist for Maintenance Agency, Data Provider, Data Consumer, and Organisation Unit. ","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Category Scheme and Categorisation","Category schemes are made up of a hierarchy of categories, which in SDMX may include any type of useful classification for the organization of data and metadata. A Categorisation links a category to an identifiable object. In this way sets of objects can be categorised. A statistical subject-matter domain scheme is implemented in  SDMX as a Category Scheme. ","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Concept Scheme","A concept scheme is a maintained list of concepts that are used in data structure definitions and metadata structure definitions. There can be many such concept schemes. A “core” representation of the  concept can be specified (e.g. a core code list, or other representation such  as “date”). Note that this core representation can be overridden in the data  structure definition or metadata structure definition that uses the concept. Indeed, organisations wishing to remain with version 1.0 key family schema specifications will continue to declare the representation in the key family  definition.","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"metadata set","A reference metadata set is a set of information pertaining to an object within the formal SDMX view of statistical exchange: they may describe the maintainers of data or structural definitions; they may describe  the schedule on which data is released; they may describe the flow of a single type of data over time; they may describe the quality of data, etc. In SDMX,  the creators of reference metadata may take whatever concepts they are concerned with, or obliged to report, and provide a reference metadata set containing that information.","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Metadata Structure Definition"," A reference metadata set also has a set of structural metadata which describes how it is organized. This metadata set identifies what reference metadata concepts are being reported, how these concepts relate to each other (typically as hierarchies), what their presentational structure is, how they may be represented (as free text, as coded values, etc.), and with which formal SDMX object types they are associated.","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"structure set","Structure Set: Structure sets provide a mechanism for grouping structural  metadata together to form a complete description of the relationships between specific, related sets of data and metadata. They can be used to  map dimensions and attributes to one another, to map concepts, to map code lists, and to map category schemes. They can be used to describe “cubes” of data, even when the data within the cube does not share a single dimensionality. ","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Hierarchical Code List","This supports the specification of code hierarchies. The codes themselves are referenced from the code lists in which they are maintained. The Hierarchical Code List thus specifies the organisation of the codes in one or more hierarchies, but does not define the codes themselves. ","","sdmx ","","https://sdmx.org/wp-content/uploads/SDMX_2-1_SECTION_1_Framework.pdf",""
"Code lists ","They form part of the shared semantics of an ONIX message. The codelists contain a list of language-independent (often numerical) code values that are used in ONIX messages, plus for each code there is a short label and sometimes a longer note to define the meaning of the code. In principle, labels and notes may be in any language: although the meaning of almost all codes is originally defined in English, translation of labels and/or notes into another language does not alter the meaning of the code itself. Thus the meaning of an ONIX message using a particular code value is understandable and unambiguous, whatever the languages used by sender and recipient of the data.
","codelist, controlled vocabulary","EDItEUR - ONIX","","https://www.editeur.org/14/Code-Lists/ ",""
"Value vocabulary","Vocabularies used to express concepts or values in instance data. DCMI uses the term Vocabulary Encoding Scheme for these vocabularies, which assumes more internal structure than a term list in text. (Example: Getty Art & Architecture Thesaurus). A value vocabulary defines resources (such as instances of topics, art styles, or authors) that are used as values for elements in metadata records. Typically, a value vocabulary does not define bibliographic resources such as books but rather concepts related to bibliographic resources (persons, languages, countries, etc.). The resources in a value vocabulary are ""building blocks"" with which metadata records can be populated. Many libraries mandate specific vocabularies for selecting values for a particular metadata element. A value vocabulary thus represents a controlled list of allowed values for an element. Examples include: thesauri, code lists, term lists, classification schemes, subject heading lists, taxonomies, authority files, digital gazetteers, concept schemes, and other types of knowledge organization systems. To be useful for linking of data, value vocabularies should have Hypertext Transfer Protocol (HTTP)68 Uniform Resource Identifiers (URIs)69 assigned for each value; these URIs would then appear in a metadata record instead of or in addition to the literal value.","content vocabulary, concept vocabulary, controlled vocabulary","w3c","NISO TR-06-2017","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025/#Value_vocabularies",""
"term list","The simplest kind of controlled vocabulary is a fl at term list, sometimes called a ‘ pick list","pick list","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"authority files","An authority fi le is a controlled vocabulary which includes synonyms or variants for each term which function as cross-references to guide the user from an ‘ non-preferred term ’variant to the equivalent ‘ preferred term ’ . In addition, authority fi les may provide a note for each term as to the authoritative source for the preferred term as it is worded. The designation ‘ authority fi le ’is used more often with named entities (proper nouns) only, and often authority fi les are simply called ‘ controlled vocabularies","named authority files, controlled vocabulary","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"taxonomy","The word ‘ taxonomy ’means the science of classifying things, and traditionally the classifi cation of plants and animals, as in the Linnaean classifi cation system. It has become a popular term now for any hierarchical classifi cation or categorization system. Thus, a taxonomy is a controlled vocabulary in which all the terms belong to a single hierarchical structure and have parent / child or broader / narrower relationships to other terms. The structure is sometimes referred to as a ‘ tree ’ . The addition of non-preferred terms / synonyms may or may not be part of a taxonomy.","tree","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"thesaurus","The classic meaning of a thesaurus is a kind of dictionary, such as Roget ’ s thesaurus, which contains synonyms or alternate expressions for each term and possibly even antonyms.","","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"thesaurus","An information / content retrieval thesaurus shares this characteristic of listing similar terms at each controlled vocabulary term entry. The difference is that in a dictionary-thesaurus all the associated terms might be used in place of the term entry depending upon the specifi c context, which the user needs to consider in each case.the content retrieval  thesaurus, on the other hand, is designed for all contexts, regardless of a specifi c term usage or document. The synonyms or near-synonyms must therefore be suitably equivalent in all circumstances.","","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"taxonomy ","A taxonomy usually means a controlled vocabulary with a hierarchical structure","","Hedden 2010","","https://link.springer.com/content/pdf/10.1057%2Fdam.2010.29.pdf",""
"Value vocabulary","Classification systems (Dewey Decimal Classification (DDC), Universal Decimal Classification (UDC) )  Subject headings/subject authority files ( Library of Congress Subject Headings (LCSH) , Répertoire d'Autorité-Matière Encyclopédique et Alphabétique Unifié (RAMEAU), Schlagwortnormdatei (SWD), National Diet Library List of Subject Headings (NDLSH) ) Name authority data (Virtual International Authority File (VIAF), Getty Union List of Artist Names (ULAN),  Library of Congress Name Authority File (LC/NAF), GeoNames) Thesauri (STW Thesaurus for Economics, AGROVOC, Eurovoc, Thesaurus for Graphic Materials (TGM) ) Other controlled vocabularies (DCMI Type Vocabulary, MARC Code List of Relators (also in element sets), PRONOM, Creative Commons (CC) License set, Preservation vocabularies from LoC) Additional sources (Wordnet, Freebase (also in datasets), DBpedia)","","w3c","","https://www.w3.org/2005/Incubator/lld/XGR-lld-vocabdataset-20111025",""
"controlled format","the term controlled format refers to rules concerning the allowable data types and formatting of information. Fields may have controlled format in addition to being linked to controlled vocabulary, or the controlled format may exist in the absence of any finite controlled list of acceptable values.","grammar, format encoding scheme","Harpring 2010","","",""
"vocabulary","vocabulary : core model, based on the RDF description framework, which ensures semantic unambiguity, coherence and machine accessibility","domain ontology, core model","Danish gov digital data strategy 2016-2020","","https://arkitektur.digst.dk/sites/default/files/rules_for_concept_and_data_modelling_-_in_english.pdf",""
"Subject Heading Lists","Subject headings, or simply headings, are uniform words or phrases intended to be assigned to books, articles, or other documents in order to describe the subject or topic of the texts and to group them with texts having similar subjects.","","Harpring 2012","","",""
"controlled list","A controlled list is a simple list of terms used to control terminology. In a well-constructed controlled list, the following is true: each term is unique; terms are not overlapping in meaning; terms are all members of the same class (i.e., having the same level of rank in a classification system); terms are equal in granularity or specificity; and terms are arranged alphabetically or in another logical order.","flat term list, pick list","Harpring 2010","","",""
"Synonym Ring Lists","A synonym ring is a simple set of terms that are considered equivalent for the purpose of retrieval. Equivalence relationships in most controlled vocabularies should be made only between terms and names that have genuine synonymy or identical meanings. However, synonym rings are different. Even though they are classified as controlled vocabularies, they are almost always used in retrieval rather than indexing.","","Harpring 2011","","",""
"authority file","An authority file is a set of established names or headings and cross-references to the preferred form from variant or alternate forms. Common types of authority files are name authority files and
subject heading authority files. However, any listing of terms, names, or
headings that distinguishes between a preferred term, name, or heading
and alternate or variant names may be used as an authority. In other
words, almost any type of controlled vocabulary—with the exception of
a synonym ring list—may be used as an authority.","authority list","Harpring 2012","","",""
"taxonomy","A taxonomy is an orderly classification for a defined domain. It may also be known as a faceted vocabulary. It comprises controlled vocabulary terms (generally only preferred terms) organized into a hierarchical structure. Each term in a taxonomy is in one or more parent/child (broader/ narrower) relationships to other terms in the taxonomy. There can be different types of parent/child relationships, such as whole/part, genus/ species, or instance relationships. However, in good practice, all children of a given parent share the same type of relationship.","","Harpring 2013","","",""
"Alphanumeric Classification Schemes","Alphanumeric classification schemes are controlled codes (letters or numbers, or both letters and numbers) that represent concepts or headings. They generally have an implied taxonomy that can be surmised from the codes.","","Harpring 2014","","",""
"thesauri","A thesaurus combines the characteristics of synonym ring lists and taxonomies, together with additional features. A thesaurus is a semantic network of unique concepts, including relationships between synonyms, broader and narrower (parent/child) contexts, and other related concepts. Thesauri may be monolingual or multilingual. Thesauri may contain three types of relationships: equivalence (synonym), hierarchical (whole/ part, genus/species, or instance), and associative.","","Harpring 2015","","",""
"ontology","In common usage in computer science, an ontology is a formal, machine-readable specification of a conceptual model in which concepts, properties, relationships, functions, constraints, and axioms are all explicitly defined. Such an ontology is not a controlled vocabulary, but it uses one or more controlled vocabularies for a defined domain and expresses the vocabulary in a representative language that has a grammar for using vocabulary terms to express something meaningful.","","Harpring 2016","","",""
"folksonomy","Folksonomy is a neologism referring to an assemblage of concepts represented by terms and names (called tags) that are compiled through social tagging. Social tagging is the decentralized practice and method by which individuals and groups create, manage, and share tags (terms, names, etc.) to annotate and categorize digital resources in an online social environment. This method is also referred to as social classification, social indexing, mob indexing, and folk categorization","social classification, social indexing, mob indexing, folk categorisation, social tagging","Harpring 2017","","",""
"Flat term list","A flat term list controlled vocabulary is a list of terms with no ordering implied. Good vocabularies include definitions and attribution if necessary. Each term is easily differentiated from each other term (no overlap). Terms are on the same scale, that is one term won't encompass other terms.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"hierarchal term list","A hierarchal term list controlled vocabulary is a list of terms that are grouped to imply a certain order or method of organization. There are parent and child relationships between terms. Terms within each group are differentiated from each other and all child terms across group are generally on the same scale. Again, good vocabularies include definitions and attribution if necessary.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"synonym ring ","A synonym ring extends controlled vocabulary term lists by providing additional terms that are equivalent to a term in the list.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"Authority File","An authority file is similar to the synonym ring, with the addition of one type of term relationship. Instead of all of the terms being equal, one term is identified as the preferred term and the others are considered variant terms.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"Classification schemes","Classification systems are codes (letters and/or numbers) that represent controlled vocabulary terms.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"Faceted controlled vocabularies","Faceted controlled vocabularies are generally mutually exclusive concept bins that capture an essential characteristic about a resource.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"thesauri","Thesauri are controlled vocabularies networked together by relationships between terms and often indicate preferred and variant terms. Relationships are defined as follows:  Equivalence: synonym of terms and the ability to suggest which term is the preferred term Hierarchy: reflect hierarchy (spatial, conceptual or terminological) of terms by showing how terms are linked to other terms. These links are often shown by the items belonging to a broad class (CL) and defining broad and narrow terms for the item (abbreviated as BT and NT). Associative: a method to indicate relationships across hierarchies. This is expressed as related terms (abbreviated as RT). Scope Notes: defines term or breadth of term and its usage (abbreviated as SN).","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"ontology","Ontologies describe concepts and relationships in programmatic ways and enable arbitrary relationships. Because ontologies describe concepts and relationships, they are somewhat like thesauri but different because there are often no preferred terms and the concepts and relationships are described in machine readable ways.","","dlese","","http://www.dlese.org/Metadata/vocabularies/term_expln.php",""
"vocabulary encoding scheme","A Vocabulary Encoding Scheme (VES) resp. Concept Scheme identifies controlled vocabularies - such as thesauri, classifications, subject headings, taxonomies, etc. - whose terms may be used as values. The relationship between Dublin Core vocabulary encoding schemes and properties is as follows: Certain properties - e.g. subject, coverage, etc. - may be constrained by a Vocabulary Encodings Scheme, where the Vocabulary Encodings Scheme dictates what values may be used with that property.","concept scheme, ","Dublin Core","NISO TR-06-2017","","sub type of controlled vocabulary"
"authority file","A list of the authoritative forms of the headings used in a library catalog or file of bibliographic records, maintained to ensure that headings are applied consistently as new items are added to the collection. Separate authority files are usually maintained for names, uniform titles, series titles, and subjects. All the references made to and from a given heading are also included in the file. See also: authority control. ","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"hierarchical classification","A classification system in which the classes are subdivided on the principle of logical subordination, from the most general subjects to the most specific. Hierarchical classification can be broad or close.","analytic classification","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"enumerative classification","A classification system in which each subject is developed to the point of indivisibility and a notation assigned for every subdivision (example: Library of Congress Classification). ","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"synthetic classification","A classification system in which the classes are formed by combining characteristics or facets of subjects according to a pre-established set of rules (example: Colon Classificationdeveloped by S.R. Ranganathan).","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"hierarchy ","The arrangement of classes in a classification system, from the most general to the most specific. In a classification schedule, hierarchy is usually indicated by length of notation and depth of indention, as in the following example from Dewey Decimal Classification","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"taxonomy","The science of classification, including the general principles by which objects and phenomena are divided into classes, which are subdivided into subclasses, then into sub-subclasses, and so on.","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"Vocabulary Encoding Scheme (VES)","Concept Scheme identifies controlled vocabularies—such as thesauri, classifications, subject headings, taxonomies, etc.—whose terms may be used as values.","concept scheme, ","Dublin Core","NISO TR-06-2017","https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide.md","subclasses: thesauri, classifications,
subject headings, taxonomies"
"controlled-list data element","In library cataloging, a data element in the MARC record whose content is determined by a list maintained by a designated agency, for example, the MARC Code List for Geographic Areas in the case of field 043 (Geographic Area Code) of the bibliographic format, a list controlled by the Library of Congress. This type of data element is indicated at the field or subfield level in MARC 21, and only values from the designated list may be used. If a change or addition is desired in a list, the maintenance agency must be consulted. (MARC 21 Concise Formats)","","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"vocabulary mapping","A function built into the search software of some bibliographic databases that allows the user to relate a specific search term to the appropriate subject heading(s) or descriptor(s), read a scope note explaining how the heading is used, view the hierarchical tree of headings to which it belongs, and select broader headings or narrower terms or subheadings to include in the search.","mapping","odlis","","https://www.abc-clio.com/ODLIS/odlis_c.aspx",""
"thesaurus","A thesaurus is a tool used for vocabulary control. Using a thesaurus improves search results. A thesaurus is a sub-set of the language we use in daily life. It includes information about the relationships of words and phrases (i.e. broader terms, narrower terms, preferred terms, non-preferred, or related terms). A thesaurus is normally restricted to a specific subject field (e.g. health, education, government documents). It allows searchers to use terminology they are familiar with to find the most relevant information.","","canadian gov","","http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx",""
" flat list of preferred terms","A flat list of preferred terms is an established list of standardized terminology for use in indexing and retrieval of information. It may or may not be arranged in alphabetical order and it does not display relationships between terms. A flat list is normally restricted to a specific kind of information (e.g. types of documents, categories of users). It is usually relatively short.","","canadian gov","","http://www.bac-lac.gc.ca/eng/services/government-information-resources/controlled-vocabularies/Pages/how-to-register-controlled-vocabulary.aspx",""
